evaluator					評価機能
buffer-local variable bindings	バッファにローカルな変数束縛リスト
metasyntactic variables		メタ構文変数
form						フォーム
function						関数
variable						変数
command					コマンド
user option					ユーザーオプション
special form					スペシャルフォーム
primitive types			×基本タイプ
	  			基本型
association list		連想リスト
printed representation		プリント表現
read syntax			入力構文
hash notation			ハッシュ表記
keyword symbol			キーワードシンボル
dotted pair notation		ドットペア表記
Case Tables 			大文字小文字テーブル
primitive functions		基本関数
autoload object			autoloadオブジェクト
local syntax table		ローカル構文テーブル
window configuration		ウィンドウ構成
frame configuration		フレーム構成
reader constructs		リーダー構成
control character		コントロール文字 vs. 制御文字
format string			フォーマット文字列
format specification		フォーマット指定
case table			大文字小文字テーブル
return value			リターン値
syntax table			構文テーブル
word constituent syntax class	単語構成構文クラス
standard case table		標準の大文字小文字テーブル
char-table    			文字テーブル
subtype				サブタイプ
canonicalize table		正準化テーブル
abnormal exit			異常終了
paired elements			要素ペア
true list			真リスト
dotted list			ドットリスト
generalized variable		汎変数
byte-code function objects	バイトコード関数オブジェクト
display table	   		ディスプレーテーブル
element value			要素値
obarray				obarray(オブジェクト配列)
intern				intern(インターン)
association			連想
local bindings			ローカルバインディング
scoping rules			スコーピングルール
lexical scoping			レキシカルスコープ
function alias			関数エイリアス
extra slots			追加スロット
face specs			フェイススペック
local value			ローカル値
textual order			テキスト順
nonlocal exit			非ローカル脱出
return point			return位置
cleanup expressions		クリーンアップ式
error handlers			エラーハンドラー
format specifier		フォーマット指定子
error symbol			エラーシンボル
error condition			エラーコンディション
condition name			コンディション名
construct 			×？構成
				◯？構造
indefinite extent		不定エクステント				
special variable		スペシャル変数
terminal-local			端末ローカル
macro expander			マクロ展開機能
generalized variable		汎変数
subexpression			部分式
widget type			ウィジェット型
基礎フェイス(underlying face)
underlying			基本、基礎
